RefugeeType,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Asylum-seekers,7513,6868,5989,5570,9764,14456,26023,41037,84542,245857
Internally displaced persons,0,0,0,0,0,0,2016500,6520800,7632500,6563462
Others of concern,0,0,0,0,0,14110,6900,9400,1993,8247
Returned IDPs,0,0,0,0,0,0,0,0,0,0
Refugee-like situations,12338,13690,15211,17914,18452,19931,729022,2468332,3887491,4873243
Returned refugees,3,24,8,0,0,0,68573,140761,0,189
Stateless persons,300000,300000,300000,300000,300000,231000,221000,160000,0,0
